SubjectName;FixationCount;FixationCountPerSec;FixationDurationMean;FixationDurationMedian;SaccadeRatio;SaccadeLengthAverage;TrialSequence;TrialID;TrialName;Column1;Snippet;Indentation;SubjectID
qoz;441.0;3650088.0;205283000000000.0;175.0;749303000000000.0;1248908.0;3.0;3.0;Do8.jpg;;Do;Indent 8;b8fecf79-c297-44f6-9354-bed8bca51fee
qz;263.0;3476767.0;198426000000000.0;178.0;689880000000000.0;1240129.0;0.0;13.0;Test2.jpg;;Test;Indent 2;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d
qz;308.0;3591753.0;195705000000000.0;1675.0;702922000000000.0;1333387.0;1.0;8.0;Program0.jpg;;Program;Indent 0;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d
qz;325.0;3314534.0;197391000000000.0;167.0;654258000000000.0;142933.0;2.0;6.0;Main4.jpg;;Main;Indent 4;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d
qz;288.0;3449184.0;210917000000000.0;180.0;727490000000000.0;1250768.0;3.0;3.0;Do8.jpg;;Do;Indent 8;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d
rm;284.0;3549689.0;178028000000000.0;134.0;631945000000000.0;1256757.0;0.0;13.0;Test2.jpg;;Test;Indent 2;4ae1494b-c720-45b5-9359-5c5fff06c0d6
rm;551.0;3732304.0;177452000000000.0;150.0;662304000000000.0;1239204.0;1.0;4.0;Main0.jpg;;Main;Indent 0;4ae1494b-c720-45b5-9359-5c5fff06c0d6
rm;457.0;3612962.0;192731000000000.0;150.0;696329000000000.0;1032127.0;2.0;10.0;Program4.jpg;;Program;Indent 4;4ae1494b-c720-45b5-9359-5c5fff06c0d6
rm;401.0;3653592.0;18256600000000.0;150.0;667022000000000.0;1177512.0;3.0;3.0;Do8.jpg;;Do;Indent 8;4ae1494b-c720-45b5-9359-5c5fff06c0d6
rom;334.0;2804766.0;173647000000000.0;1325.0;487038000000000.0;1359594.0;0.0;6.0;Main4.jpg;;Main;Indent 4;bc09646b-dfee-4aac-8918-eee34b72ef2b
rom;435.0;3291415.0;181867000000000.0;134.0;598599000000000.0;121481.0;1.0;3.0;Do8.jpg;;Do;Indent 8;bc09646b-dfee-4aac-8918-eee34b72ef2b
rom;315.0;3284911.0;197067000000000.0;149.0;647347000000000.0;1150733.0;2.0;12.0;Test0.jpg;;Test;Indent 0;bc09646b-dfee-4aac-8918-eee34b72ef2b
